Vulnerability Type,Description,Severity,Exploitability
File Upload Vulnerabilities,Uploaded malicious files due to missing file type validation.,High,Medium
Session Management,Reused session ID for unauthorized access.,Low,Medium
Dynamic Analysis,Exploited SQL Injection in user login form.,Low,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,High
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,High,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Low,Critical
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Critical,Medium
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,High,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Low,Low
Input Field Testing,Bypassed client-side validation using web proxies.,Critical,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Medium
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Medium
Access Control,Unauthorized users could access privileged actions.,High,Medium
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Critical,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,Critical
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Low,Low
Reconnaissance,Detected subdomains hosting vulnerable services.,Medium,Low
XSS Testing,Reflected XSS executed by embedding script in URL parameters.,Low,Medium
Static Code Analysis,Improper input validation leading to potential code injection.,Low,Critical
Database Vulnerabilities,Discovered exposed database query logs.,Low,Medium
Server-side Vulnerabilities,Detected insecure server headers like X-Frame-Options missing.,Critical,Low
Access Control,Exploited weak access control rules in API endpoints.,Critical,Medium
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Medium,Medium
Input Field Testing,"Injected JavaScript payloads, causing XSS.",Medium,Medium
Reconnaissance,Found outdated software versions during recon phase.,Low,Medium
Session Management,Session fixation vulnerability found in login mechanism.,High,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Medium
Access Control,Bypassed access control to access restricted admin resources.,Medium,Critical
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Low
Database Vulnerabilities,Discovered exposed database query logs.,Critical,Critical
Database Vulnerabilities,Detected default admin credentials in database configuration.,High,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Critical
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Medium,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Low
Reconnaissance,Found outdated software versions during recon phase.,Critical,Low
Reconnaissance,Found outdated software versions during recon phase.,Low,Low
Database Vulnerabilities,Detected default admin credentials in database configuration.,Low,Low
Session Management,Reused session ID for unauthorized access.,Low,Critical
Database Vulnerabilities,Discovered exposed database query logs.,High,Low
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,High
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,High,Low
XSS Testing,Discovered DOM-based XSS in JavaScript functions.,Critical,High
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Low
Dynamic Analysis,Exploited SQL Injection in user login form.,High,High
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,Low,Critical
Reconnaissance,Found outdated software versions during recon phase.,Medium,High
Password Security,Weak password policy allowing easily guessable passwords.,High,Low
Session Management,Session did not expire properly after logout.,Medium,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,High
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Critical,Critical
Server-side Vulnerabilities,Allowed file inclusion due to improper server setup.,Low,Low
XSS Testing,Injected script that executed on multiple user sessions.,Critical,Low
File Upload Vulnerabilities,Allowed execution of uploaded files by bypassing security controls.,High,High
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,Medium,Medium
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,Medium
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Medium,Medium
Dynamic Analysis,Discovered reflected XSS vulnerability.,High,Critical
Reconnaissance,Found outdated software versions during recon phase.,Low,Critical
XSS Testing,Executed stored XSS by injecting scripts in comment fields.,High,Critical
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,Medium,Low
Password Security,Weak password policy allowing easily guessable passwords.,Critical,Low
Access Control,Bypassed access control to access restricted admin resources.,Low,Critical
Access Control,Detected IDOR (Insecure Direct Object References) allowing access to other users' data.,Low,High
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,Critical,Critical
Reconnaissance,Gathered sensitive information such as server details and CMS version.,Medium,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Low
Session Management,Session fixation vulnerability found in login mechanism.,High,Medium
Session Management,Session did not expire properly after logout.,Medium,Critical
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Critical,Low
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,Medium,Medium
Server-side Vulnerabilities,Misconfigured server allowed directory traversal attacks.,Medium,Critical
Static Code Analysis,Discovered weak encryption algorithm in use.,Low,Low
Automated Scanning,Found outdated software versions using automated vulnerability scanner.,Critical,High
Database Vulnerabilities,Unencrypted database backups exposed sensitive information.,High,Critical
Database Vulnerabilities,SQL Injection vulnerability detected in search functionality.,High,Low
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Low,High
Session Management,Reused session ID for unauthorized access.,Low,Medium
File Upload Vulnerabilities,Detected lack of size limit on uploaded files causing DoS.,High,High
Dynamic Analysis,Performed a successful SSRF attack to access internal resources.,High,Medium
Password Security,Lack of multi-factor authentication enabled brute-force attacks.,High,High
Reconnaissance,Identified open ports using passive scanning and OS fingerprinting.,Critical,Critical
Static Code Analysis,Detected hardcoded credentials in the source code.,High,Low
File Upload Vulnerabilities,Improper sanitization of uploaded files leading to RCE.,Medium,Critical
Password Security,Passwords stored using weak hashing algorithm.,Low,Low
Password Security,Passwords stored using weak hashing algorithm.,High,High
Static Code Analysis,Detected hardcoded credentials in the source code.,Low,Medium
Automated Scanning,Identified weak SSL/TLS configuration using a scanner.,Low,Critical
Password Security,Passwords stored using weak hashing algorithm.,Medium,Medium
Database Vulnerabilities,Detected default admin credentials in database configuration.,Critical,Medium
Reconnaissance,Found outdated software versions during recon phase.,High,Low
Password Security,Passwords stored using weak hashing algorithm.,Medium,Low
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,High
Server-side Vulnerabilities,Weak SSH configuration allowed brute force attacks.,Medium,Medium
Automated Scanning,Found insecure HTTP methods enabled.,Medium,Critical
Session Management,"Weak session cookies, missing HttpOnly and Secure flags.",Medium,High
Dynamic Analysis,Executed XSS payload leading to data exfiltration.,Low,Low
Static Code Analysis,Found API keys embedded in JavaScript files.,Critical,Critical
Automated Scanning,Detected open ports with vulnerable services exposed.,Low,Medium
Input Field Testing,"Injected SQL statements in form fields, manipulating DB queries.",Low,Medium
